=== LANE MASK DEBUG LOG — started 2026-04-12 12:28:07 ===
Legend:
  raw      : masks from YOLO (before any classification fix)
  prep     : after _prepare_local_ai_side_masks (guessed→resolve)
  bev      : after _reclassify_masks_via_bev
  guide    : final _build_local_mask_guidance result
  err      : crosstrack error [m]  (+right / -left of centre)
  hdg      : heading error [deg]
  steer    : commanded steering [deg]  (+right / -left)
  Lcx/Rcx  : BEV x-centroid of left/right mask [px], centre=320
  src      : YOLO source (g=guessed_single, e=explicit_class, etc)

F000001 12:28:07.406 | raw: L=none R=none | prep: 2-line | bev: bev=skipped swap=no | guide: ? sides=? err=? hdg=-2.2° | OUT steer=-0.7° v=10.0
F000002 12:28:07.519 | raw: L=none R=none | prep: 2-line | bev: bev=skipped swap=no | guide: ? sides=? err=? hdg=-2.2° | OUT steer=-0.7° v=10.0
F000003 12:28:07.635 | raw: L(cx=122.3,a=3747,s=gue) R(cx=439.6,a=6225,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=+0.0° v=11.0
F000004 12:28:07.733 | raw: L=none R(cx=439.6,a=5822,s=gue) | prep: det=right res=right via=mask | bev: 1mask present=right cx=560.8 center=320.0 correct=right swap=no | guide: single_line_physical sides=right err=-0.063m hdg=-15.6° | OUT steer=+5.2° v=12.0
F000005 12:28:07.821 | raw: L=none R(cx=439.6,a=5822,s=gue) | prep: det=right res=right via=mask | bev: 1mask present=right cx=560.8 center=320.0 correct=right swap=no | guide: single_line_physical sides=right err=-0.063m hdg=-24.1° | OUT steer=-25.0° v=10.5
F000006 12:28:07.945 | raw: L(cx=118.5,a=3746,s=gue) R(cx=438.3,a=6036,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.7 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.149m hdg=+0.0° | OUT steer=-12.5° v=10.0
F000007 12:28:08.075 | raw: L(cx=68.5,a=2344,s=gue) R(cx=441.1,a=6046,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.140m hdg=+0.0° | OUT steer=-15.2° v=10.0
F000008 12:28:08.221 | raw: L(cx=120.0,a=3727,s=gue) R(cx=439.6,a=6252,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-14.1° v=10.0
F000009 12:28:08.358 | raw: L(cx=122.4,a=3750,s=gue) R(cx=439.8,a=6237,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000010 12:28:08.523 | raw: L(cx=64.0,a=2251,s=gue) R(cx=441.4,a=5762,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.4 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.144m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000011 12:28:08.702 | raw: L(cx=120.1,a=3724,s=gue) R(cx=439.4,a=6240,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.143m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000012 12:28:08.811 | raw: L(cx=119.9,a=3723,s=gue) R(cx=438.3,a=6260,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.146m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000013 12:28:08.941 | raw: L(cx=122.4,a=3792,s=gue) R(cx=439.1,a=6260,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.143m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000014 12:28:09.136 | raw: L(cx=121.1,a=3771,s=gue) R(cx=439.4,a=6269,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.146m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000015 12:28:09.259 | raw: L(cx=94.1,a=3077,s=gue) R(cx=442.9,a=5980,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.142m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000016 12:28:09.407 | raw: L(cx=120.9,a=3876,s=gue) R(cx=433.4,a=5501,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=562.5 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.149m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000017 12:28:09.601 | raw: L(cx=121.5,a=3780,s=gue) R(cx=439.7,a=6277,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.144m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000018 12:28:09.729 | raw: L(cx=119.8,a=3736,s=gue) R(cx=439.3,a=6226,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.141m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000019 12:28:09.863 | raw: L(cx=126.0,a=3682,s=gue) R(cx=438.4,a=5880,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.142m hdg=+0.0° | OUT steer=-13.8° v=10.0
