wall_time_s,monotonic_s,logger_elapsed_s,host,state,cmd_speed_cms,cmd_speed_mps,cmd_steer_deg_wire,cmd_blocked_reason,cmd_engine_enabled,cmd_serial_connected,cmd_klem_mode,motor_speed_mps,motor_steer_deg_iso,motor_valid,motor_source,motor_reason,feedback_speed_cms,feedback_speed_mps,feedback_steer_deg_wire,distance_m,distance_rel_m,steering_limit_lower_deg_wire,steering_limit_upper_deg_wire,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,pose_x_m,pose_y_m,pose_yaw_deg,pose_yaw_rad,raw_pose_x_m,raw_pose_y_m,raw_pose_yaw_deg,matched_pose_x_m,matched_pose_y_m,matched_pose_yaw_deg,localization_confidence,relocalization_mode,relocalization_source,relocalization_error_m
1779094832.474822,93523.167683,0.086399,192.168.1.101,,,,,,,,,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.532142,93523.225002,0.143719,192.168.1.101,,,,,,,,,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.574406,93523.267267,0.185983,192.168.1.101,,,,,,,,,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.62857,93523.321431,0.240147,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.682437,93523.375298,0.294014,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.725409,93523.41827,0.336986,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.779964,93523.472826,0.391542,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.823185,93523.516047,0.434763,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.878443,93523.571305,0.490021,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.931915,93523.624776,0.543492,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094832.974547,93523.667409,0.586125,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.028134,93523.720996,0.639713,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.081941,93523.774802,0.693518,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.125498,93523.81836,0.737076,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.179702,93523.872564,0.79128,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.224251,93523.917113,0.835829,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.278077,93523.970939,0.889655,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.331728,93524.024589,0.943305,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.374093,93524.066955,0.985671,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.427742,93524.120604,1.03932,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.480524,93524.173385,1.092101,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.523653,93524.216514,1.13523,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.5781,93524.270961,1.189677,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.63144,93524.324301,1.243017,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.674126,93524.366988,1.285704,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.727514,93524.420375,1.339091,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.78057,93524.473432,1.392148,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.823665,93524.516526,1.435242,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.877488,93524.570349,1.489065,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.931019,93524.62388,1.542596,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094833.973861,93524.666722,1.585438,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.027997,93524.720859,1.639575,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.082026,93524.774888,1.693604,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.124319,93524.817181,1.735897,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.178267,93524.871128,1.789844,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.231489,93524.92435,1.843066,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.273757,93524.966619,1.885335,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.327397,93525.02026,1.938976,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.380949,93525.073811,1.992527,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.423663,93525.116525,2.035241,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.476943,93525.169804,2.088521,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.530334,93525.223195,2.141912,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.573279,93525.266141,2.184857,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
1779094834.627832,93525.320694,2.23941,192.168.1.101,,0.0,0.0,0.0,klem_off,False,True,0,0.0,0.0,True,safety_gate,behavior_invalid/mode_not_auto,0.0,0.0,,17.969,0.0,,,,,,,,,,,,,,,,,,,
